"chr22"	17787652	17811497	23846	"-"
"chr5"	60487713	60547657	59945	"+"
"chr14"	23511760	23560778	49019	"+"
"chr4"	6663396	6676755	13360	"+"
"chr20"	62544343	62551526	7184	"-"
"chr1"	15111815	15153237	41423	"-"
"chr2"	110375138	110384442	9305	"-"
"chr18"	3593732	3598352	4621	"+"
"chr15"	44527257	44536923	9667	"-"
"chr1"	15834474	15848147	13674	"-"
"chr2"	69962263	70103220	140958	"-"
"chr19"	37545470	37549171	3702	"-"
"chr4"	84965682	85011277	45596	"+"
"chr10"	11316834	11319884	3051	"-"
"chr8"	375931	383174	7244	"-"
"chr22"	41831215	41834665	3451	"-"
"chr22"	19447893	19450105	2213	"+"
"chr14"	62114353	62130962	16610	"+"
"chr17"	1711493	1717174	5682	"-"
"chr21"	32572238	32575881	3644	"-"
"chr7"	39733632	39793092	59461	"+"
"chr2"	113211522	113276581	65060	"+"
"chr12"	126726270	126746252	19983	"+"
"chr12"	116533422	116536518	3097	"+"
"chr16"	29291220	29372110	80891	"+"
"chr20"	32631652	32673941	42290	"-"
"chr1"	210231456	210234047	2592	"-"
"chr6"	85660950	85678748	17799	"-"
"chr20"	50292720	50314922	22203	"+"
"chr9"	129176771	129210548	33778	"+"
"chr12"	131165011	131212931	47921	"+"
"chr22"	47621043	47631569	10527	"-"
"chr16"	30193892	30204310	10419	"+"
"chr7"	77657660	77696265	38606	"-"
"chr5"	43041575	43045390	3816	"+"
"chr6"	57946074	57961501	15428	"-"
"chr5"	17130028	17217047	87020	"-"
"chr12"	8235415	8242564	7150	"+"
"chr8"	7301611	7355354	53744	"-"
"chr13"	91347820	91354579	6760	"+"
"chr1"	16618253	16657232	38980	"-"
"chr2"	177264359	177265515	1157	"+"
"chr1"	156712212	156713174	963	"-"
"chrX"	102769161	102885406	116246	"+"
"chr20"	62732566	62735347	2782	"-"
"chr3"	195544048	195550581	6534	"+"
"chr3"	40313802	40453329	139528	"-"
"chr3"	191425526	191591097	165572	"+"
"chr2"	134735464	134918710	183247	"-"
"chr1"	32204769	32206814	2046	"-"
"chr1"	94613814	94855426	241613	"-"
"chr22"	21938293	21977632	39340	"+"
"chr2"	176164051	176188958	24908	"-"
"chr7"	54556970	54571726	14757	"+"
"chr13"	112107119	112108015	897	"+"
"chr22"	47631674	47855600	223927	"+"
"chr2"	231388976	231394991	6016	"+"
"chr22"	34208141	34209262	1122	"-"
"chr13"	30881933	30933846	51914	"-"
"chr10"	44811024	44959689	148666	"-"
"chr2"	220791078	220797893	6816	"+"
"chr16"	88731180	88741425	10246	"+"
"chr7"	124929873	125179315	249443	"+"
