chr22	17787652	17811497
chr5	60487713	60547657
chr14	23511760	23560778
chr4	6663396	6676755
chr20	62544343	62551526
chr1	15111815	15153237
chr2	110375138	110384442
chr18	3593732	3598352
chr15	44527257	44536923
chr1	15834474	15848147
chr2	69962263	70103220
chr19	37545470	37549171
chr4	84965682	85011277
chr10	11316834	11319884
chr8	375931	383174
chr22	41831215	41834665
chr22	19447893	19450105
chr14	62114353	62130962
chr17	1711493	1717174
chr21	32572238	32575881
chr7	39733632	39793092
chr2	113211522	113276581
chr12	126726270	126746252
chr12	116533422	116536518
chr16	29291220	29372110
chr20	32631652	32673941
chr1	210231456	210234047
chr6	85660950	85678748
chr20	50292720	50314922
chr9	129176771	129210548
chr12	131165011	131212931
chr22	47621043	47631569
chr16	30193892	30204310
chr7	77657660	77696265
chr5	43041575	43045390
chr6	57946074	57961501
chr5	17130028	17217047
chr12	8235415	8242564
chr8	7301611	7355354
chr13	91347820	91354579
chr1	16618253	16657232
chr2	177264359	177265515
chr1	156712212	156713174
chrX	102769161	102885406
chr20	62732566	62735347
chr3	195544048	195550581
chr3	40313802	40453329
chr3	191425526	191591097
chr2	134735464	134918710
chr1	32204769	32206814
chr1	94613814	94855426
chr22	21938293	21977632
chr2	176164051	176188958
chr7	54556970	54571726
chr13	112107119	112108015
chr22	47631674	47855600
chr2	231388976	231394991
chr22	34208141	34209262
chr13	30881933	30933846
chr10	44811024	44959689
chr2	220791078	220797893
chr16	88731180	88741425
chr7	124929873	125179315
chr21	14027421	14144468
chr10	87342736	87357882
chr20	61738219	61755056
chr10	628638	631255
chr6	108123515	108159392
chr9	96019724	96027993
chr1	97933474	98049863
chr9	135462727	135480777
chr22	29436534	29478175
chr21	34370802	34375348
chr21	42733594	42741758
chr3	14920347	14948424
chr10	11849608	11894700
chr2	199457700	199476935
chr20	63102205	63104386
chr9	86948699	87002033
chr1	47225797	47230750
chr21	41141493	41148133
chr13	105704280	105764440
chr19	54444813	54449045
chr21	14761710	14763090
chr21	21223295	21226829
chr1	64972225	65002489
chr2	34799850	35185689
chr17	72290091	72640472
chr21	44921051	44929678
chr18	51346249	51643939
chr3	47164497	47246601
chr6	113868013	113873351
